Goonswarm Federation,Tactical Narcotics Team,The Bastion,The Initiative.
695.7901999242972,784.4125,851.9087947882737,787.1628227873053
Test Alliance Please Ignore,Brave Collective,Pandemic Horde,Northern Coalition.,Evictus.
662.8487764314564,634.4156346749226,315.9423432726647,910.2108514638733,570.5839299920445
